Series Name,Series Code,1961 [YR1961],1962 [YR1962],1963 [YR1963],1964 [YR1964],1965 [YR1965],1966 [YR1966],1967 [YR1967],1968 [YR1968],1969 [YR1969],1970 [YR1970],1971 [YR1971],1972 [YR1972],1973 [YR1973],1974 [YR1974],1975 [YR1975],1976 [YR1976],1977 [YR1977],1978 [YR1978],1979 [YR1979],1980 [YR1980],1981 [YR1981],1982 [YR1982],1983 [YR1983],1984 [YR1984],1985 [YR1985],1986 [YR1986],1987 [YR1987],1988 [YR1988],1989 [YR1989],1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023]
Emission Totals - Emissions (CO2eq) from CH4 (AR5) - IPCC Agriculture,CC.ECA.IPA,8934.6409,9092.9882,8632.2944,9294.7309,9459.1399,9701.849,9700.5363,9768.1675,9770.1844,10428.9217,10770.6557,11082.9161,11181.968,11296.3792,11485.544,11329.0767,11625.7439,12700.4656,13997.2093,12635.7352,12422.7262,13775.5987,15486.6652,16006.672,15774.9603,16145.5326,16156.258,17292.3444,18042.0978,18520.3881,17683.0474,17545.8727,17418.4913,17453.7612,17331.3887,16195.4701,16151.1717,16462.6958,17618.8064,16048.0229,15986.4856,16758.0892,17955.3975,19232.445,18605.2527,18066.0392,29944.2073,30362.0387,28963.6604,29074.977,29815.1269,29518.8047,28877.3241,29277.6597,29706.1214,32412.2372,29945.8063,31150.4148,36393.7392,..,..,..,..
Emission Totals - Emissions (CO2eq) from CH4 (AR5) - Land Use change,CC.ECA.LUC,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.611,0.611,0.611,0.611,0.611,0.611,1.0003,0.924,1.5355,1.2997,0.5374,0,0,0.0581,0.1162,0,0,0.3485,0,0,0.2323,0,0,0,0,0,0,0,0,0.0581,..,..,..,..
Emission Totals - Emissions (CO2eq) from CH4 (AR5) - LULUCF,CC.ECA.LUL,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,19.5847,19.5847,19.5847,19.5847,19.5847,19.5847,23.2634,121.4409,42.1292,90.8878,137.9294,0.9711,0.6243,1.376,0.463,3.4681,0.9711,1.0421,1.734,4.3698,0.371,1.6647,4.3698,0.5549,0.1387,18.797,0.3468,1.1098,0.0694,3.3874,..,..,..,..
Emission Totals - Emissions (CO2eq) from CH4 (AR5) - Manure Management,CC.ECA.MMA,267.1403,271.3995,257.6568,277.472,281.545,289.7182,290.9012,291.6166,292.5966,312.2634,321.5934,330.251,335.1006,341.5238,345.7211,341.6806,350.0022,384.029,422.27,383.1139,377.6248,414.2174,464.9152,478.8655,471.5222,474.3977,467.7747,502.1179,524.2401,536.2024,512.9511,509.367,505.875,507.6792,505.9517,470.3713,470.9226,472.6257,513.4604,463.5056,473.2769,497.8258,517.664,561.0131,546.9071,512.027,888.351,943.7534,880.092,897.7924,914.3331,893.8164,885.285,899.0876,915.1277,993.8497,936.5909,979.9868,1170.2159,..,..,..,..
Emission Totals - Emissions (CO2eq) from CH4 (AR5) - On-farm energy use,CC.ECA.OEU,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,7.9638,6.9585,7.495,6.589,5.7276,6.899,6.8202,4.8976,4.6443,4.5431,4.2003,4.2988,5.6796,5.2851,5.5841,4.7879,6.2609,10.5207,10.7153,10.1925,16.6001,33.296,26.3094,23.0158,10.7593,8.1157,6.6695,5.0891,6.3846,5.5096,..,..,..,..
Emission Totals - Emissions (CO2eq) from CH4 (AR5) - Rice Cultivation,CC.ECA.RCA,12.544,11.368,10.439,10.5017,4.8647,5.5468,5.5468,6.7424,9.6491,11.4542,12.4068,13.4848,14.5197,12.8596,12.3578,13.72,13.132,14.7,17.052,19.11,18.5083,20.4996,22.1637,24.4294,28.4161,28.42,28.42,27.44,27.8712,25.9916,25.48,24.5,22.2068,21.1484,21.56,24.8038,20.2664,16.9324,25.9288,27.2087,25.872,25.48,21.1308,25.9171,31.2424,45.2878,32.2557,32.7986,42.7848,39.5548,54.9466,58.0748,61.444,55.6444,57.6985,57.5005,59.5683,50.8934,46.0404,..,..,..,..
Emission Totals - Emissions (CO2eq) from CH4 (AR5) - Savanna fires,CC.ECA.SVF,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,112.2491,112.2491,112.2491,112.2491,112.2491,112.2491,138.0255,125.6573,472.3465,159.7097,86.6546,72.3863,77.1198,168.1144,56.6896,84.4642,29.8376,253.9468,92.8383,41.5216,53.9401,44.5724,322.6862,83.8737,58.1299,54.4262,56.6935,16.2925,38.8519,58.0262,..,..,..,..
Emission Totals - Emissions (CO2eq) from N2O (AR5) - AFOLU,CC.ENA.AFO,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,8755.0525,8431.0257,8379.1327,8276.0198,8376.8453,8228.2516,7872.7807,7845.4182,8093.3093,8519.3227,7879.2595,7903.5313,8162.0429,8755.6139,9163.5139,9096.3082,8689.1077,13755.4361,13744.8508,13251.1579,13390.2974,13926.5394,13750.5858,13638.1879,14457.452,13989.2831,14960.7707,13728.1724,14286.8926,16521.8084,..,..,..,..
Emission Totals - Emissions (CO2eq) from N2O (AR5) - Agricultural Soils,CC.ENA.AGS,4019.2768,4093.5433,3920.1841,4225.7949,4306.3331,4395.6575,4412.0609,4423.7926,4428.304,4743.8192,4864.978,5001.2296,5064.0216,5110.0097,5213.3408,5170.2859,5355.5098,5865.4558,6398.6485,5835.8855,5785.48,6362.0316,7110.0028,7244.4904,7297.9048,7438.9002,7396.1391,8050.561,8348.4874,8521.2409,8200.1034,8145.3284,8040.8792,8138.0374,7986.5895,7604.3332,7558.9101,7524.8845,8204.6254,7621.9504,7693.7706,7945.3059,8441.6452,8951.8963,8860.9247,8499.4092,13337.581,13465.3803,13012.0277,13142.5369,13679.8583,13251.904,13348.6563,14189.0375,13703.7841,14666.8245,13480.0377,14009.9208,16209.2073,..,..,..,..
Emission Totals - Emissions (CO2eq) from N2O (AR5) - Burning - Crop residues,CC.ENA.BCR,14.9348,17.651,19.5584,20.5884,23.6101,19.7759,23.4506,26.9418,26.448,23.7182,22.5465,25.2428,28.0418,28.0968,28.1133,30.8171,30.4705,29.0282,26.4431,26.3349,22.0826,23.8681,25.5888,19.646,27.9315,28.2265,28.0249,28.6833,28.1177,27.3407,26.0721,27.94,26.8083,29.6214,28.5791,29.5995,29.8542,29.1277,30.7827,29.635,32.0917,31.3957,32.8354,26.9894,34.882,37.0368,31.6186,33.3291,36.9472,39.477,41.7609,42.5142,41.948,41.5067,41.0534,45.8452,40.7994,44.3032,42.845,..,..,..,..
Emission Totals - Emissions (CO2eq) from N2O (AR5) - Crop Residues,CC.ENA.CRE,94.4467,103.0035,113.4525,115.5445,121.2357,112.2576,132.0823,149.5011,149.8234,139.2063,136.0401,146.7793,162.5005,168.931,173.4484,203.0341,202.4609,187.002,171.3624,163.8535,155.5159,189.2435,182.0278,137.8811,198.1833,216.8006,195.2177,214.0725,219.619,198.3447,206.0952,208.6646,187.4186,234.8328,228.9496,199.0348,206.6377,207.7752,218.5566,201.6473,244.7785,237.291,251.3431,229.2371,273.4126,292.8273,261.6452,225.8201,245.712,303.5191,308.3423,344.6793,338.5697,309.9034,333.2902,307.9387,296.5045,360.3765,366.0964,..,..,..,..
Emission Totals - Emissions (CO2eq) from N2O (AR5) - Drained organic soils (N2O),CC.ENA.DON,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,30.2595,30.2595,30.2595,30.2595,30.2595,31.2376,31.4526,31.4526,31.4526,31.4526,31.4526,31.8654,31.8654,31.8654,31.8654,31.8654,31.8654,31.8654,31.8654,31.6585,31.6585,31.6585,31.6585,31.4638,31.4638,31.4638,31.4638,31.4638,31.1736,31.1736,..,..,..,..
Emission Totals - Emissions (CO2eq) from N2O (AR5) - Emissions on agricultural land,CC.ENA.EAL,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,8759.7043,8434.9256,8383.4485,8279.6885,8380.2054,8232.2949,7877.791,7823.0838,8095.5421,8507.2082,7856.0492,7918.1749,8177.3894,8773.331,9186.159,9114.2719,8713.2261,13782.27,13769.1306,13275.7592,13403.2443,13930.3607,13750.7445,13645.8546,14465.1892,13980.0724,14969.0081,13736.5862,14294.2051,16526.207,..,..,..,..
Emission Totals - Emissions (CO2eq) from N2O (AR5) - Farm-gate emissions,CC.ENA.FGE,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,8759.4866,8434.7079,8383.2308,8279.4707,8379.9876,8232.0771,7877.5125,7822.8264,8095.1146,8506.8465,7855.8995,7918.1749,8177.3894,8773.2808,9186.0586,9114.2719,8713.2261,13781.9688,13769.1306,13275.7592,13403.0436,13930.3607,13750.7445,13645.8546,14465.1892,13980.0724,14969.0081,13736.5862,14294.2051,16526.1568,..,..,..,..
Emission Totals - Emissions (CO2eq) from N2O (AR5) - Fires in humid tropical forests,CC.ENA.FTR,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.2177,0.2177,0.2177,0.2177,0.2177,0.2177,0.2785,0.2573,0.4274,0.3617,0.1497,0,0,0.0502,0.1004,0,0,0.3011,0,0,0.2007,0,0,0,0,0,0,0,0,0.0502,..,..,..,..
Emission Totals - Emissions (CO2eq) from N2O (AR5) - Forest fires,CC.ENA.FFR,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,6.598,6.598,6.598,6.598,6.598,6.598,6.4758,33.8045,11.7273,25.2996,38.3943,0.8391,0.5394,1.189,0.4001,2.9969,0.8391,0.9005,1.4984,3.7761,0.3206,1.4385,3.7761,0.4795,0.1199,16.2431,0.2997,0.959,0.0599,2.9272,..,..,..,..
Emission Totals - Emissions (CO2eq) from N2O (AR5) - IPCC Agriculture,CC.ENA.IPA,4081.5575,4158.3966,3984.0449,4294.3356,4379.1108,4465.6513,4484.9059,4501.7179,4507.2593,4821.6838,4943.9756,5084.8068,5150.4597,5196.4253,5300.9689,5259.9942,5446.2821,5958.9675,6496.1169,5927.4907,5873.3456,6460.0182,7218.0924,7348.3907,7410.0792,7553.2803,7512.2673,8172.7407,8474.4863,8748.4545,8424.4277,8372.5347,8269.4218,8370.2473,8221.6536,7866.3049,7811.6138,8081.582,8494.0232,7840.8652,7902.6921,8161.5034,8754.4249,9163.1138,9093.3113,8688.2686,13754.5356,13743.3524,13247.3818,13389.9768,13925.1009,13746.8097,13637.7084,14457.3321,13973.04,14960.471,13727.2134,14286.8327,16518.8812,..,..,..,..
Emission Totals - Emissions (CO2eq) from N2O (AR5) - Land Use change,CC.ENA.LUC,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.2177,0.2177,0.2177,0.2177,0.2177,0.2177,0.2785,0.2573,0.4274,0.3617,0.1497,0,0,0.0502,0.1004,0,0,0.3011,0,0,0.2007,0,0,0,0,0,0,0,0,0.0502,..,..,..,..
Emission Totals - Emissions (CO2eq) from N2O (AR5) - LULUCF,CC.ENA.LUL,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,6.598,6.598,6.598,6.598,6.598,6.598,6.4758,33.8045,11.7273,25.2996,38.3943,0.8391,0.5394,1.189,0.4001,2.9969,0.8391,0.9005,1.4984,3.7761,0.3206,1.4385,3.7761,0.4795,0.1199,16.2431,0.2997,0.959,0.0599,2.9272,..,..,..,..
Emission Totals - Emissions (CO2eq) from N2O (AR5) - Manure applied to Soils,CC.ENA.SAS,92.4255,93.8594,90.449,96.7482,100.2873,101.8711,98.9562,102.507,104.764,107.3707,113.9135,118.4044,116.1345,112.7087,118.5586,116.2799,123.602,131.3897,142.6981,130.053,128.7411,148.4129,166.5704,168.3421,174.1312,193.0194,205.8544,219.4586,228.3888,235.8898,227.4902,227.946,224.0021,226.4999,233.5097,237.647,238.9637,238.6716,245.9259,241.1495,225.8998,231.2716,277.7528,285.917,256.8943,289.3057,396.833,344.573,361.1806,334.7994,352.4806,352.5177,358.5923,365.3276,367.3291,404.3153,373.1442,374.0912,401.5476,..,..,..,..
Emission Totals - Emissions (CO2eq) from N2O (AR5) - Manure left on Pasture,CC.ENA.MLP,3815.8515,3877.3686,3675.8712,3956.4936,4013.0803,4116.4919,4109.2925,4112.1936,4085.4338,4375.8533,4512.9473,4633.9909,4672.9915,4721.327,4800.596,4727.2821,4889.938,5406.8267,5973.6826,5394.657,5297.0689,5871.5355,6595.8743,6746.8038,6657.9829,6774.1634,6731.3329,7299.2116,7628.4581,7785.8288,7447.1321,7414.7132,7366.9048,7366.1471,7310.8092,6788.5851,6800.4544,6754.5481,7409.6321,6761.9545,6749.7354,7098.787,7505.1452,8047.7507,7898.6435,7456.8693,12208.9075,12459.9396,12001.7396,12081.9745,12369.568,12017.7875,11908.9912,12219.1942,12238.8619,13373.8068,12316.5926,12913.5477,14962.9351,..,..,..,..
Emission Totals - Emissions (CO2eq) from N2O (AR5) - Manure Management,CC.ENA.MMA,47.346,47.2024,44.3023,47.9522,49.1677,50.2179,49.3944,50.9836,52.5072,54.1464,56.4511,58.3344,58.3963,58.3188,59.5148,58.8912,60.3017,64.4835,71.0253,65.2703,65.783,74.1186,82.5008,84.2542,84.2429,86.1536,88.1034,93.4963,97.8812,102.875,101.2543,102.2685,104.7364,105.5907,109.4871,113.0998,114.2652,119.4009,120.6049,114.399,114.2786,118.1603,134.6715,135.2409,124.5165,126.039,165.8929,164.4186,162.5268,161.3516,164.9654,173.5486,174.6263,176.5562,181.1712,198.8107,192.2975,199.0355,216.6866,..,..,..,..
Emission Totals - Emissions (CO2eq) from N2O (AR5) - On-farm energy use,CC.ENA.OEU,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,11.0321,10.2802,10.696,10.049,9.7403,10.4235,11.2076,11.2127,13.5327,12.8233,15.0342,15.4828,15.8859,18.856,22.9448,20.9606,24.9575,27.4333,25.7782,28.3774,13.0668,5.2598,3.9347,8.1461,7.8571,7.0324,8.5371,9.3728,7.3725,7.2755,..,..,..,..
Emission Totals - Emissions (CO2eq) from N2O (AR5) - Savanna fires,CC.ENA.SVF,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,96.9979,96.9979,96.9979,96.9979,96.9979,96.9979,119.2723,108.5843,408.1689,138.0101,74.8808,62.5512,66.6416,145.2728,48.9872,72.9881,25.7836,219.4431,80.2244,35.88,46.6113,38.5163,278.8429,72.4779,50.2318,47.0313,48.9906,14.0788,33.5731,50.1422,..,..,..,..
Emission Totals - Emissions (CO2eq) from N2O (AR5) - Synthetic Fertilizers,CC.ENA.SFE,16.553,19.3119,40.4115,57.0087,71.7298,65.0369,71.7298,59.5909,88.2829,121.3889,102.0771,102.055,112.3951,107.043,120.7378,123.6898,139.509,140.2373,110.9053,147.322,204.1541,152.8397,165.5304,191.4634,267.6074,254.9168,263.734,317.8183,272.0216,270.918,289.1264,263.745,232.2943,280.2981,182.0834,347.6137,281.4016,292.437,299.0582,385.7464,441.4915,346.0909,375.5387,357.1262,400.1089,428.5415,438.3299,403.1823,371.737,390.5854,617.809,505.2609,711.0393,1263.1485,732.839,549.2999,462.3325,330.7318,447.4547,..,..,..,..
Emission Totals - Emissions (N2O) - AFOLU,CC.ENO.AFO,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,33.0379,31.8152,31.6194,31.2303,31.6107,31.05,29.7086,29.6054,30.5408,32.1484,29.7331,29.8246,30.8002,33.0401,34.5793,34.3257,32.7891,51.9073,51.8674,50.0044,50.5294,52.553,51.889,51.4649,54.5564,52.7897,56.4557,51.8044,53.9128,62.3464,..,..,..,..
Emission Totals - Emissions (N2O) - Agricultural Soils,CC.ENO.AGS,15.1671,15.4473,14.7931,15.9464,16.2503,16.5874,16.6493,16.6936,16.7106,17.9012,18.3584,18.8726,19.1095,19.2831,19.673,19.5105,20.2095,22.1338,24.1458,22.0222,21.832,24.0077,26.8302,27.3377,27.5393,28.0713,27.91,30.3795,31.5037,32.1556,30.9438,30.7371,30.3429,30.7096,30.1381,28.6956,28.5242,28.3958,30.9609,28.7621,29.0331,29.9823,31.8553,33.7807,33.4375,32.0732,50.3305,50.8128,49.102,49.5945,51.6221,50.0072,50.3723,53.5435,51.7124,55.3465,50.8681,52.8676,61.1668,..,..,..,..
Emission Totals - Emissions (N2O) - Burning - Crop residues,CC.ENO.BCR,0.0564,0.0666,0.0738,0.0777,0.0891,0.0746,0.0885,0.1017,0.0998,0.0895,0.0851,0.0953,0.1058,0.106,0.1061,0.1163,0.115,0.1095,0.0998,0.0994,0.0833,0.0901,0.0966,0.0741,0.1054,0.1065,0.1058,0.1082,0.1061,0.1032,0.0984,0.1054,0.1012,0.1118,0.1078,0.1117,0.1127,0.1099,0.1162,0.1118,0.1211,0.1185,0.1239,0.1018,0.1316,0.1398,0.1193,0.1258,0.1394,0.149,0.1576,0.1604,0.1583,0.1566,0.1549,0.173,0.154,0.1672,0.1617,..,..,..,..
Emission Totals - Emissions (N2O) - Crop Residues,CC.ENO.CRE,0.3564,0.3887,0.4281,0.436,0.4575,0.4236,0.4984,0.5642,0.5654,0.5253,0.5134,0.5539,0.6132,0.6375,0.6545,0.7662,0.764,0.7057,0.6467,0.6183,0.5869,0.7141,0.6869,0.5203,0.7479,0.8181,0.7367,0.8078,0.8288,0.7485,0.7777,0.7874,0.7072,0.8862,0.864,0.7511,0.7798,0.7841,0.8247,0.7609,0.9237,0.8954,0.9485,0.865,1.0317,1.105,0.9873,0.8522,0.9272,1.1454,1.1636,1.3007,1.2776,1.1694,1.2577,1.162,1.1189,1.3599,1.3815,..,..,..,..
Emission Totals - Emissions (N2O) - Drained organic soils (N2O),CC.ENO.DON,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.1142,0.1142,0.1142,0.1142,0.1142,0.1179,0.1187,0.1187,0.1187,0.1187,0.1187,0.1202,0.1202,0.1202,0.1202,0.1202,0.1202,0.1202,0.1202,0.1195,0.1195,0.1195,0.1195,0.1187,0.1187,0.1187,0.1187,0.1187,0.1176,0.1176,..,..,..,..
Emission Totals - Emissions (N2O) - Emissions on agricultural land,CC.ENO.EAL,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,33.0555,31.8299,31.6357,31.2441,31.6234,31.0653,29.7275,29.5211,30.5492,32.1027,29.6455,29.8799,30.8581,33.1069,34.6648,34.3935,32.8801,52.0086,51.959,50.0972,50.5783,52.5674,51.8896,51.4938,54.5856,52.755,56.4868,51.8362,53.9404,62.363,..,..,..,..
Emission Totals - Emissions (N2O) - Farm-gate emissions,CC.ENO.FGE,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,33.0547,31.8291,31.6348,31.2433,31.6226,31.0644,29.7265,29.5201,30.5476,32.1013,29.6449,29.8799,30.8581,33.1067,34.6644,34.3935,32.8801,52.0074,51.959,50.0972,50.5775,52.5674,51.8896,51.4938,54.5856,52.755,56.4868,51.8362,53.9404,62.3629,..,..,..,..
Emission Totals - Emissions (N2O) - Fires in humid tropical forests,CC.ENO.FTR,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.0008,0.0008,0.0008,0.0008,0.0008,0.0008,0.0011,0.001,0.0016,0.0014,0.0006,0,0,0.0002,0.0004,0,0,0.0011,0,0,0.0008,0,0,0,0,0,0,0,0,0.0002,..,..,..,..
Emission Totals - Emissions (N2O) - Forest fires,CC.ENO.FFR,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.0249,0.0249,0.0249,0.0249,0.0249,0.0249,0.0244,0.1276,0.0443,0.0955,0.1449,0.0032,0.002,0.0045,0.0015,0.0113,0.0032,0.0034,0.0057,0.0142,0.0012,0.0054,0.0142,0.0018,0.0005,0.0613,0.0011,0.0036,0.0002,0.011,..,..,..,..
Emission Totals - Emissions (N2O) - IPCC Agriculture,CC.ENO.IPA,15.4021,15.6921,15.0341,16.205,16.5249,16.8515,16.9242,16.9876,17.0085,18.195,18.6565,19.188,19.4357,19.6092,20.0037,19.849,20.552,22.4867,24.5136,22.3679,22.1636,24.3774,27.2381,27.7298,27.9626,28.5029,28.3482,30.8405,31.9792,33.013,31.7903,31.5945,31.2054,31.5858,31.0251,29.6842,29.4778,30.4965,32.0529,29.5882,29.8215,30.7981,33.0356,34.5778,34.3144,32.7859,51.9039,51.8617,49.9901,50.5282,52.5476,51.8748,51.4631,54.556,52.7285,56.4546,51.8008,53.9126,62.3354,..,..,..,..
Emission Totals - Emissions (N2O) - Land Use change,CC.ENO.LUC,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.0008,0.0008,0.0008,0.0008,0.0008,0.0008,0.0011,0.001,0.0016,0.0014,0.0006,0,0,0.0002,0.0004,0,0,0.0011,0,0,0.0008,0,0,0,0,0,0,0,0,0.0002,..,..,..,..
Emission Totals - Emissions (N2O) - LULUCF,CC.ENO.LUL,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.0249,0.0249,0.0249,0.0249,0.0249,0.0249,0.0244,0.1276,0.0443,0.0955,0.1449,0.0032,0.002,0.0045,0.0015,0.0113,0.0032,0.0034,0.0057,0.0142,0.0012,0.0054,0.0142,0.0018,0.0005,0.0613,0.0011,0.0036,0.0002,0.011,..,..,..,..
Emission Totals - Emissions (N2O) - Manure applied to Soils,CC.ENO.SAS,0.3488,0.3542,0.3413,0.3651,0.3784,0.3844,0.3734,0.3868,0.3953,0.4052,0.4299,0.4468,0.4382,0.4253,0.4474,0.4388,0.4664,0.4958,0.5385,0.4908,0.4858,0.56,0.6286,0.6353,0.6571,0.7284,0.7768,0.8281,0.8618,0.8902,0.8585,0.8602,0.8453,0.8547,0.8812,0.8968,0.9017,0.9006,0.928,0.91,0.8525,0.8727,1.0481,1.0789,0.9694,1.0917,1.4975,1.3003,1.3629,1.2634,1.3301,1.3303,1.3532,1.3786,1.3861,1.5257,1.4081,1.4117,1.5153,..,..,..,..
Emission Totals - Emissions (N2O) - Manure left on Pasture,CC.ENO.MLP,14.3994,14.6316,13.8712,14.9302,15.1437,15.5339,15.5068,15.5177,15.4167,16.5127,17.03,17.4868,17.6339,17.8163,18.1155,17.8388,18.4526,20.4031,22.5422,20.3572,19.9889,22.1567,24.8901,25.4596,25.1245,25.5629,25.4013,27.5442,28.7866,29.3805,28.1024,27.98,27.7996,27.7968,27.588,25.6173,25.6621,25.4889,27.9609,25.5168,25.4707,26.7879,28.3213,30.3689,29.8062,28.1391,46.0713,47.0186,45.2896,45.5924,46.6776,45.3501,44.9396,46.1102,46.1844,50.4672,46.4777,48.7304,56.4639,..,..,..,..
Emission Totals - Emissions (N2O) - Manure Management,CC.ENO.MMA,0.1787,0.1781,0.1672,0.181,0.1855,0.1895,0.1864,0.1924,0.1981,0.2043,0.213,0.2201,0.2204,0.2201,0.2246,0.2222,0.2276,0.2433,0.268,0.2463,0.2482,0.2797,0.3113,0.3179,0.3179,0.3251,0.3325,0.3528,0.3694,0.3882,0.3821,0.3859,0.3952,0.3985,0.4132,0.4268,0.4312,0.4506,0.4551,0.4317,0.4312,0.4459,0.5082,0.5103,0.4699,0.4756,0.626,0.6204,0.6133,0.6089,0.6225,0.6549,0.659,0.6662,0.6837,0.7502,0.7257,0.7511,0.8177,..,..,..,..
Emission Totals - Emissions (N2O) - On-farm energy use,CC.ENO.OEU,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.0416,0.0388,0.0404,0.0379,0.0368,0.0393,0.0423,0.0423,0.0511,0.0484,0.0567,0.0584,0.0599,0.0712,0.0866,0.0791,0.0942,0.1035,0.0973,0.1071,0.0493,0.0198,0.0148,0.0307,0.0296,0.0265,0.0322,0.0354,0.0278,0.0275,..,..,..,..
Emission Totals - Emissions (N2O) - Savanna fires,CC.ENO.SVF,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.366,0.366,0.366,0.366,0.366,0.366,0.4501,0.4098,1.5403,0.5208,0.2826,0.236,0.2515,0.5482,0.1849,0.2754,0.0973,0.8281,0.3027,0.1354,0.1759,0.1453,1.0522,0.2735,0.1896,0.1775,0.1849,0.0531,0.1267,0.1892,..,..,..,..
Emission Totals - Emissions (N2O) - Synthetic Fertilizers,CC.ENO.SFE,0.0625,0.0729,0.1525,0.2151,0.2707,0.2454,0.2707,0.2249,0.3331,0.4581,0.3852,0.3851,0.4241,0.4039,0.4556,0.4668,0.5264,0.5292,0.4185,0.5559,0.7704,0.5768,0.6246,0.7225,1.0098,0.962,0.9952,1.1993,1.0265,1.0223,1.091,0.9953,0.8766,1.0577,0.6871,1.3117,1.0619,1.1035,1.1285,1.4556,1.666,1.306,1.4171,1.3476,1.5098,1.6171,1.6541,1.5214,1.4028,1.4739,2.3314,1.9066,2.6832,4.7666,2.7654,2.0728,1.7447,1.248,1.6885,..,..,..,..
Emission Totals - Indirect emissions (N2O) - AFOLU,CC.IEN.AFO,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,6.5992,6.3759,6.3319,6.2479,6.3207,6.1963,5.9641,5.9413,5.8554,6.4127,5.9798,6.068,6.29,6.6416,7.1358,7.0604,6.6463,11.0958,11.2538,10.8467,10.9653,11.4316,10.7688,11.0096,11.8337,11.295,12.0549,11.193,11.5705,13.8181,..,..,..,..
Emission Totals - Indirect emissions (N2O) - Agricultural Soils,CC.IEN.AGS,3.0761,3.1219,3.0227,3.248,3.3081,3.3695,3.386,3.3831,3.3663,3.5731,3.6478,3.7339,3.7684,3.7842,3.8664,3.8476,4.0619,4.4965,4.8722,4.5149,4.4875,4.8835,5.4296,5.491,5.598,5.6902,5.6056,6.2404,6.499,6.5992,6.3759,6.3319,6.2479,6.3207,6.1963,5.9641,5.9413,5.8554,6.4127,5.9798,6.068,6.29,6.6416,7.1358,7.0604,6.6463,11.0958,11.2538,10.8467,10.9653,11.4316,10.7688,11.0096,11.8337,11.295,12.0549,11.193,11.5705,13.8181,..,..,..,..
