Series Name,Series Code,1961 [YR1961],1962 [YR1962],1963 [YR1963],1964 [YR1964],1965 [YR1965],1966 [YR1966],1967 [YR1967],1968 [YR1968],1969 [YR1969],1970 [YR1970],1971 [YR1971],1972 [YR1972],1973 [YR1973],1974 [YR1974],1975 [YR1975],1976 [YR1976],1977 [YR1977],1978 [YR1978],1979 [YR1979],1980 [YR1980],1981 [YR1981],1982 [YR1982],1983 [YR1983],1984 [YR1984],1985 [YR1985],1986 [YR1986],1987 [YR1987],1988 [YR1988],1989 [YR1989],1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023]
Emission Totals - Emissions (CO2eq) (AR5) - Forestland,CC.EAR.FOR,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,-4458.2606,-4458.2606,-4458.2606,-4458.2606,-4458.2606,-4458.2606,-4458.2606,-4458.2606,-4458.2606,-4458.2606,-4458.2606,26.5198,26.5198,26.5198,26.5198,26.5198,26.5198,26.5198,26.5198,26.5198,26.5198,25.831,25.831,25.831,25.831,25.831,-7727.5708,-7727.5708,-7727.5708,-7727.5708,..,..,..,..
Emission Totals - Emissions (CO2eq) (AR5) - IPCC Agriculture,CC.EAR.IPA,13016.1984,13251.3848,12616.3393,13589.0665,13838.2508,14167.5003,14185.4422,14269.8855,14277.4437,15250.6055,15714.6313,16167.7229,16332.4278,16492.8046,16786.5129,16589.0708,17072.026,18659.4331,20493.3262,18563.2258,18296.0718,20235.6168,22704.7577,23355.0627,23185.0395,23698.8129,23668.5253,25465.0851,26516.5842,27268.8425,26107.4751,25918.4074,25687.9131,25824.0085,25553.0423,24061.775,23962.7854,24544.2777,26112.8296,23888.8882,23889.1778,24919.5927,26709.8223,28395.5589,27698.5639,26754.3077,43698.7429,44105.3911,42211.0422,42464.9538,43740.2278,43265.6144,42515.0325,43734.9918,43679.1614,47372.7082,43673.0197,45437.2475,52912.6205,..,..,..,..
Emission Totals - Emissions (CO2eq) (AR5) - Land Use change,CC.EAR.LUC,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.8287,0.8287,0.8287,0.8287,0.8287,0.8287,1.2788,1.1813,1.9629,1.6614,0.6872,14977.4103,14977.4103,14977.5185,14977.6268,14977.4103,14977.4103,14978.0599,14977.4103,14977.4103,14977.8433,8157.6953,8157.6953,8157.6953,8157.6953,8157.6953,0,0,0,0.1083,..,..,..,..
Emission Totals - Emissions (CO2eq) (AR5) - LULUCF,CC.EAR.LUL,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,-4330.2397,-4330.2397,-4330.2397,-4330.2397,-4330.2397,-4325.055,-4320.907,-4195.4008,-4296.7896,-4234.4588,-4174.3225,15116.3004,15115.6539,15117.0552,15115.3533,15120.9553,15116.3004,15116.4329,15117.7227,15120.3594,15112.9052,8294.9129,8299.9556,8290.7014,8289.9256,8324.7071,-7620.7836,-7619.3613,-7621.3806,-7615.1953,..,..,..,..
Emission Totals - Emissions (CO2eq) (AR5) - Manure applied to Soils,CC.EAR.SAS,92.4255,93.8594,90.449,96.7482,100.2873,101.8711,98.9562,102.507,104.764,107.3707,113.9135,118.4044,116.1345,112.7087,118.5586,116.2799,123.602,131.3897,142.6981,130.053,128.7411,148.4129,166.5704,168.3421,174.1312,193.0194,205.8544,219.4586,228.3888,235.8898,227.4902,227.946,224.0021,226.4999,233.5097,237.647,238.9637,238.6716,245.9259,241.1495,225.8998,231.2716,277.7528,285.917,256.8943,289.3057,396.833,344.573,361.1806,334.7994,352.4806,352.5177,358.5923,365.3276,367.3291,404.3153,373.1442,374.0912,401.5476,..,..,..,..
Emission Totals - Emissions (CO2eq) (AR5) - Manure left on Pasture,CC.EAR.MLP,3815.8515,3877.3686,3675.8712,3956.4936,4013.0803,4116.4919,4109.2925,4112.1936,4085.4338,4375.8533,4512.9473,4633.9909,4672.9915,4721.327,4800.596,4727.2821,4889.938,5406.8267,5973.6826,5394.657,5297.0689,5871.5355,6595.8743,6746.8038,6657.9829,6774.1634,6731.3329,7299.2116,7628.4581,7785.8288,7447.1321,7414.7132,7366.9048,7366.1471,7310.8092,6788.5851,6800.4544,6754.5481,7409.6321,6761.9545,6749.7354,7098.787,7505.1452,8047.7507,7898.6435,7456.8693,12208.9075,12459.9396,12001.7396,12081.9745,12369.568,12017.7875,11908.9912,12219.1942,12238.8619,13373.8068,12316.5926,12913.5477,14962.9351,..,..,..,..
Emission Totals - Emissions (CO2eq) (AR5) - Manure Management,CC.EAR.MMA,314.4863,318.6018,301.9591,325.4243,330.7127,339.9361,340.2956,342.6002,345.1039,366.4098,378.0445,388.5855,393.497,399.8427,405.236,400.5719,410.304,448.5125,493.2953,448.3842,443.4078,488.336,547.416,563.1197,555.7652,560.5513,555.8781,595.6142,622.1213,639.0774,614.2054,611.6355,610.6114,613.2699,615.4388,583.4711,585.1878,592.0266,634.0653,577.9046,587.5555,615.9861,652.3355,696.254,671.4236,638.066,1054.244,1108.172,1042.6188,1059.144,1079.2985,1067.3649,1059.9113,1075.6438,1096.2989,1192.6604,1128.8884,1179.0223,1386.9025,..,..,..,..
Emission Totals - Emissions (CO2eq) (AR5) - Net Forest conversion,CC.EAR.NFC,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0,0,0,0,0,0,0,0,0,0,0,14977.4103,14977.4103,14977.4103,14977.4103,14977.4103,14977.4103,14977.4103,14977.4103,14977.4103,14977.4103,8157.6953,8157.6953,8157.6953,8157.6953,8157.6953,0,0,0,0,..,..,..,..
Emission Totals - Emissions (CO2eq) (AR5) - On-farm energy use,CC.EAR.OEU,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,297.643,251.3071,294.4273,300.4074,323.4486,332.7568,400.7783,263.3558,293.1571,257.2792,251.7683,317.8886,345.472,408.8173,376.4983,343.2665,406.4053,481.413,467.6928,490.4269,402.4862,509.2794,404.5686,405.658,305.6972,218.7678,241.56,284.1491,288.1544,284.6458,..,..,..,..
Emission Totals - Emissions (CO2eq) (AR5) - Rice Cultivation,CC.EAR.RCA,12.544,11.368,10.439,10.5017,4.8647,5.5468,5.5468,6.7424,9.6491,11.4542,12.4068,13.4848,14.5197,12.8596,12.3578,13.72,13.132,14.7,17.052,19.11,18.5083,20.4996,22.1637,24.4294,28.4161,28.42,28.42,27.44,27.8712,25.9916,25.48,24.5,22.2068,21.1484,21.56,24.8038,20.2664,16.9324,25.9288,27.2087,25.872,25.48,21.1308,25.9171,31.2424,45.2878,32.2557,32.7986,42.7848,39.5548,54.9466,58.0748,61.444,55.6444,57.6985,57.5005,59.5683,50.8934,46.0404,..,..,..,..
